项目URL,项目名称,采购人信息,项目金额
https://www.szggzy.com/jygg/details.html?contentId=2444619,2025年福田区责任督学培训项目采购公告,名称：深圳市福田区教师发展中心地址：深圳市福田区福田街道彩田路,2840000000.00
https://www.szggzy.com/jygg/details.html?contentId=2444535,2025年三八妇女节庆祝活动-插花培训询价采购公告,名称：深圳市福田区教师发展中心地址：深圳市福田区福田街道彩田路,15000
https://www.szggzy.com/jygg/details.html?contentId=2443352,教职工瑜伽培训项目采购公告,未识别,1
https://www.szggzy.com/jygg/details.html?contentId=2443361,学生葫芦丝民乐课程培训采购公告,未识别,1
https://www.szggzy.com/jygg/details.html?contentId=2443130,专科医师规范化培训项目招标公告,名称：深圳市卫生健康委员会地址：深南中路路新城大厦东座联系方式：仇小姐,3
https://www.szggzy.com/jygg/details.html?contentId=2442949,2024-2025学年第二学期学生科创社团培训项目采购公告,名称：深圳市卫生健康委员会地址：深南中路路新城大厦东座联系方式：仇小姐,7
https://www.szggzy.com/jygg/details.html?contentId=2442199,2024-2025学年第二学期学生国际象棋社团培训项目采购公告,名称：深圳市卫生健康委员会地址：深南中路路新城大厦东座联系方式：仇小姐,7
https://www.szggzy.com/jygg/details.html?contentId=2441174,南山区2025年幼儿园园长任职资格培训班项目采购公告,名称：深圳市卫生健康委员会地址：深南中路路新城大厦东座联系方式：仇小姐,870000.00
https://www.szggzy.com/jygg/details.html?contentId=2437711,开展学习贯彻党的二十届三中全会精神培训,名称：深圳市卫生健康委员会地址：深南中路路新城大厦东座联系方式：仇小姐,2
https://www.szggzy.com/jygg/details.html?contentId=2436134,深圳市公安局光明分局第十一批辅警初任培训场地服务保障项目招标公告,名称：深圳市公安局光明分局地址：广东省深圳市光明区光明街道科林路,3
https://www.szggzy.com/jygg/details.html?contentId=2435947,2025年全市养老服务从业人员培训服务采购公告,名称：深圳市公安局光明分局地址：广东省深圳市光明区光明街道科林路,1957350000.00
https://www.szggzy.com/jygg/details.html?contentId=2433518,深圳市宝安区中医院干部管理培训项目公开征集采购公告,名称：深圳市公安局光明分局地址：广东省深圳市光明区光明街道科林路,1520791
https://www.szggzy.com/jygg/details.html?contentId=2433427,服刑人员制衣岗位技能培训招标公告,名称：广东省深圳监狱地址：深圳市坪山区金田路,530000.00
https://www.szggzy.com/jygg/details.html?contentId=2432996,深圳市基建幼儿园教师课程培训采购项目招标公告,名称：深圳市基建幼儿园地址：深圳市福田区园岭五街四号联系人：温老师联系方式：,92800.00
https://www.szggzy.com/jygg/details.html?contentId=2432953,2025年深圳市干部履职能力培训项目（A）招标公告,名称：中共深圳市委组织部地址：深南中路市委大院前楼五楼联系方式：林先生,3
https://www.szggzy.com/jygg/details.html?contentId=2432641,体育场2025-2026年游泳培训服务项目招标公告,名称：深圳市福田区公共文化体育发展中心地址：福田区石厦街福田机关游泳场联系人：李工联系电话：,500
https://www.szggzy.com/jygg/details.html?contentId=2432209,关于对2025年深圳市干部履职能力培训项目招标文件征求意见的公告,名称：深圳市福田区公共文化体育发展中心地址：福田区石厦街福田机关游泳场联系人：李工联系电话：,6
https://www.szggzy.com/jygg/details.html?contentId=2431320,2025年度个人破产管理人业务培训项目采购公告,名称：深圳市破产事务管理署地址：深圳市福田区莲花街道益田路,1000000000
https://www.szggzy.com/jygg/details.html?contentId=2431335,深圳市公安局罗湖分局第十一批辅警初任培训服务采购项目招标公告,名称：深圳市公安局罗湖分局地址：罗湖区罗沙公路,3
https://www.szggzy.com/jygg/details.html?contentId=2429576,深圳市公安局龙岗分局辅警培训场地租赁及配套服务项目（A）招标公告,名称：深圳市公安局龙岗分局地址：深圳市龙岗区中心城德政路,3
https://www.szggzy.com/jygg/details.html?contentId=2414524,南方科技大学附属光明凤凰学校学生足球培训服务项目采购公告,名称：南方科技大学附属光明凤凰学校地址：深圳市光明区光明街道光侨大道,219840.000
https://www.szggzy.com/jygg/details.html?contentId=2414215,深圳市碧波小学2025年管乐团培训服务项目采购公告,名称：南方科技大学附属光明凤凰学校地址：深圳市光明区光明街道光侨大道,480000.00
https://www.szggzy.com/jygg/details.html?contentId=2414215,深圳市碧波小学2025年管乐团培训服务项目采购公告,未识别,480000.00
https://www.szggzy.com/jygg/details.html?contentId=2413270,深圳市碧波小学2025年管乐团培训服务项目采购公告,未识别,480000.00
https://www.szggzy.com/jygg/details.html?contentId=2411818,光明区校外培训机构督导服务项目采购公告,名称：深圳市光明区教育局地址：深圳市光明区牛山路公共服务平台,490000.00
https://www.szggzy.com/jygg/details.html?contentId=2410172,关于2025年大鹏新区党群服务中心党员教育培训相关项目的信息公开,名称：深圳市光明区教育局地址：深圳市光明区牛山路公共服务平台,290000
https://www.szggzy.com/jygg/details.html?contentId=2409945,第五批深圳市公立医院院长职业化培训定制课程 招标公告,名称：深圳市卫生健康能力建设和继续教育中心地址：深圳市罗湖区清水河三路,3
https://www.szggzy.com/jygg/details.html?contentId=2409328,服刑人员非遗工作室培训服务采购公告,名称：广东省深圳监狱地址：深圳市坪山区石井街道金田路,4000000000
https://www.szggzy.com/jygg/details.html?contentId=2406672,深圳大学培训手术超声骨刀采购（A）招标公告,名称：深圳大学地址：深圳市南山区南海大道,3
https://www.szggzy.com/jygg/details.html?contentId=2404698,服刑人员职业技术教育培训服务招标公告,名称：深圳大学地址：深圳市南山区南海大道,949800.00
https://www.szggzy.com/jygg/details.html?contentId=2397576,2024年深汕合作区鹅埠镇中心小学综合育人能力提升综合能力提升培训,名称：深圳大学地址：深圳市南山区南海大道,3
https://www.szggzy.com/jygg/details.html?contentId=2391624,深圳市残疾人职业康复及职业培训服务招标公告,名称：深圳市残疾人联合会地址：广东省深圳市罗湖区笋岗东路,13089622.00
https://www.szggzy.com/jygg/details.html?contentId=2387477,坪山区人力资源局坪山区国家级高技能人才培训基地培训评价资源开发服务项目采购公告(重新采购第1次),名称：深圳市坪山区人力资源局地址：广东省深圳市坪山区坪山街道坪山大道,3
https://www.szggzy.com/jygg/details.html?contentId=2383232,龙岗区职业培训学校校园物业管理服务采购采购公告,名称：深圳市龙岗区人力资源服务中心地址：深圳市龙岗区龙城街道清林路,3
https://www.szggzy.com/jygg/details.html?contentId=2382647,李松蓢学校校园足球项目培训服务招标公告,：名称：深圳市光明区李松蓢学校地址：深圳市光明区公明街道志康路,1000000000
https://www.szggzy.com/jygg/details.html?contentId=2381383,关于2024年企业研发投入辅导培训服务项目采购公告,名称：深圳市福田区科技和工业信息化局地址：深圳市福田区福民路,300000.00
https://www.szggzy.com/jygg/details.html?contentId=2381174,“深心健康”科普和培训平台采购项目招标公告,名称：中国医学科学院阜外医院深圳医院地址：深圳市南山区西丽街道朗山路,3080000000
https://www.szggzy.com/jygg/details.html?contentId=2378394,坪山区人力资源局坪山区国家级高技能人才培训基地高技能人才提升培训及成果交流展示项目采购公告,名称：深圳市坪山区人力资源局地址：广东省深圳市坪山区坪山街道坪山大道,3
https://www.szggzy.com/jygg/details.html?contentId=2377139,坪山区人力资源局坪山区国家级高技能人才培训基地培训评价资源开发服务项目采购公告,名称：深圳市坪山区人力资源局地址：广东省深圳市坪山区坪山街道坪山大道,3
https://www.szggzy.com/jygg/details.html?contentId=2375954,龙华区校外培训机构信息公示VI定制服务项目采购公告,名称：深圳市坪山区人力资源局地址：广东省深圳市坪山区坪山街道坪山大道,469380
https://www.szggzy.com/jygg/details.html?contentId=2374552,应急办开展2024年应急管理业务能力提升培训采购公告,名称：深圳市光明区玉塘街道办事处地址：广东省深圳市光明区玉塘街道田寮社区警民路,141000.00
https://www.szggzy.com/jygg/details.html?contentId=2372185,2024年度“再出发、再超越、再引领”干部业务培训班采购项目招标公告,名称：深圳市规划和自然资源局地址：深圳市福田区红荔西路,2025000000
https://www.szggzy.com/jygg/details.html?contentId=2369861,深圳大学微创手术培训系统采购公告,名称：深圳大学地址：深圳市南山区南海大道,3
https://www.szggzy.com/jygg/details.html?contentId=2367431,消防安全知识教育培训及综合治安宣传及消防、三防系列宣传活动服务项目招标公告,名称：深圳市公安局大鹏分局地址：深圳市大鹏新区葵涌街道土洋社区海景路,332660.00
https://www.szggzy.com/jygg/details.html?contentId=2366558,2024年深圳市现代渔业综合管理培训采购项目招标公告,名称：深圳市规划和自然资源局地址：深圳市福田区红荔西路,2025000000
https://www.szggzy.com/jygg/details.html?contentId=2364549,2024年福田区中学校领导任职资格培训项目招标公告,名称：深圳市福田区教师发展中心地址：深圳市福田区联系人：陈老师联系电话：,5600000000.00
https://www.szggzy.com/jygg/details.html?contentId=2363620,深圳市2023年度省级监管重点VOCs企业排放总量审核与培训辅导招标公告,：深圳市环境科学研究院联系人：钟工联系电话：,4000000000
